BooleanExpression,BooleanExpression
Expression,Expression
equal,equal
equalAny,equalAny
greaterThan,greaterThan
greaterThanOrEqual,greaterThanOrEqual
lessThan,lessThan
lessThanOrEqual,lessThanOrEqual
notEqual,notEqual
notEqualAny,notEqualAny
stringConcat,stringConcat
stringContains,stringContains
stringReverse,stringReverse
AliasedExpression,AliasedExpression
FunctionExpression,FunctionExpression
cond,conditional
